EntryOrder,Date,Julian day,Day,Month,Year,Season,Time,AM or PM,Genus,Species,Class,Order,Group,Drift fence,PitTrap #,Board #,Habitat type,Location/habitat description,Sex,Body Length (mm),Tail Length (mm),Mass (g),Age,Air temp,Humidity,Clouds,Comments,Participants,Class
142,10/11/21,21284,11,October,2021,Autumn,9:47,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,By fire pit,,,,,,,,,,,Vert Bio
143,10/11/21,21284,11,October,2021,Autumn,9:59,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,By fire pit,,,,,,,,,,,Vert Bio
141,10/11/21,21284,11,October,2021,Autumn,9:45,AM,Diadophis,punctatus,Reptile,Squamate,Snake,,,28,Open,,,,,,,,,,,"Morgan Muell, Sullivan Smith, Camille Perry",Vert Bio
144,10/11/21,21284,11,October,2021,Autumn,10:19,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,19,Stream,,,39,48,0.86,,,,,,,Vert Bio
145,10/12/21,21285,12,October,2021,Autumn,8:45,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,11,Stream,,,29,39,0.51,,22.9,83.7,,wind=0 mph,"Dan Warner, Hannah Eubanks, Brenyn Kelly, Kaitlyn Watson",Vert Bio
148,10/14/21,21287,14,October,2021,Autumn,11:59,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Firepit,,27,14,0.8,,,,,cut tail,,Vert Bio
146,10/14/21,21287,14,October,2021,Autumn,11:45,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,Trail next to powerline cut,,,,,,26.7,71,,wind=0 mph,Kerry,Vert Bio
147,10/14/21,21287,14,October,2021,Autumn,11:50,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Forest,Fence next to waterfall,,42,76,3,,,,,,,Vert Bio
150,10/16/21,21289,16,October,2021,Autumn,1:33,PM,Trachemys,scripta,Reptile,Chelonia,Turtle,,,,Edge,Basking on log in pond,,,,,,,,,,,Vert Bio
151,10/16/21,21289,16,October,2021,Autumn,1:34,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Basking on rock on trail next to pond,Female,27,30,0.68,,,,,,,Vert Bio
152,10/16/21,21289,16,October,2021,Autumn,1:39,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Firepit,Female,32,22,0.86,,,,,Broken tail,,Vert Bio
153,10/16/21,21289,16,October,2021,Autumn,1:45,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Edge,Under rock next to firepit,,31,11,0.42,,,,,Broken tail,,Vert Bio
154,10/16/21,21289,16,October,2021,Autumn,1:45,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Edge,Under construction wood by the structure under construction near apitheature,,28,18,0.23,,,,,regenerated tail,,Vert Bio
155,10/16/21,21289,16,October,2021,Autumn,1:46,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,By structure under construction near ampitheater,,,,,,,,,,,Vert Bio
156,10/16/21,21289,16,October,2021,Autumn,1:55,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Barn at homestead,Male,51,90,1.82,,,,,,,Vert Bio
149,10/16/21,21289,16,October,2021,Autumn,1:19,PM,Peromyscus,sp,Mammal,Rodentia,Mouse,1,2,,Open,,,,,3.75,,22.7,63,,wind = 1.5 mph,"Dan Warner, Alexa Hightower, Hannah Eubanks, Hannah Forget, Angela Jaimes, Victoria Chaves, Anna Darke",Vert Bio
161,10/18/21,21291,18,October,2021,Autumn,9:27,AM,Sciurus,carolinensis,Mammal,Rodentia,Squirrel,,,,Edge,Near homestead fence,,,,,,,,,,,Vert Bio
162,10/18/21,21291,18,October,2021,Autumn,9:27,AM,Sciurus,carolinensis,Mammal,Rodentia,Squirrel,,,,Edge,Near homestead fence,,,,,,,,,,,Vert Bio
157,10/18/21,21291,18,October,2021,Autumn,9:56,AM,Virginia,striatula,Reptile,Squamate,Snake,,,37,Open,,,154,32,2.85,,16.7,92.5,,wind=0 moph,"Morgan, no students",Vert Bio
158,10/18/21,21291,18,October,2021,Autumn,10:24,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,3,4,,Stream,,,33,36,0.65,,,,,,,Vert Bio
160,10/18/21,21291,18,October,2021,Autumn,10:38,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,13,Stream,,,35,51,0.98,,,,,,,Vert Bio
159,10/18/21,21291,18,October,2021,Autumn,10:36,AM,Ardeas,herodias,Aves,,Bird,,,,Stream,Near board 44,,,,,,,,,,,Vert Bio
163,10/18/21,21291,18,October,2021,Autumn,10:43,AM,Sciurus,carolinensis,Mammal,Rodentia,Squirrel,,,,,,,,,,,,,,,,Vert Bio
164,10/21/21,21294,21,October,2021,Autumn,11:00,AM,,,,,,,,,,,,,,,,20.5,83,,"No catch, wind=0mph","Kerry, Sydney, Kaylee, Victoria",Vert Bio
166,10/25/21,21298,25,October,2021,Autumn,10:05,AM,Gastrophryne,carolinensis,Amphibian,Anura,Frog,2,3,,Open,,,21,,0.78,,,,,,,Vert Bio
165,10/25/21,21298,25,October,2021,Autumn,9:48,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,5,4,,Stream,,,83,78,8.77,,21.6,95,,,"Morgan, Will, Camille, Andrew",Vert Bio
167,10/26/21,21299,26,October,2021,Autumn,5:17,PM,Blarina,sp,Mammal,Insectivora,Shrew,5,4,,Stream,,,73,,13.72,,21.5,58.6,,"Wind = 0 mph, Shrew was dead","Warner, Alyson Mann, Kaitlyn Watson, Lindsay Goodwin, Hannah Eubanks",Vert Bio
168,10/27/21,21300,27,October,2021,Autumn,6:00,PM,,,,,,,,,,nothing in traps,,,,,,,,,,,Vert Bio
170,10/28/21,21301,28,October,2021,Autumn,11:25,AM,Thamnophis,sirtalis,Reptile,Squamate,Snake,,,,Open,near fence #1,,,,,,,,,Not captured,,Vert Bio
171,10/28/21,21301,28,October,2021,Autumn,11:37,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Stream,Near fence #5,,,,,,,,,Not captured,,Vert Bio
172,10/28/21,21301,28,October,2021,Autumn,11:37,AM,Blarina,sp,Mammal,Insectivora,Shrew,4,4,,,,,,,,,,,,Dead in trap,,Vert Bio
169,10/28/21,21301,28,October,2021,Autumn,11:00,AM,,,,,,,,,,,,,,,,17.3,90.8,,,"Kerry, Daniel, Sydney, Kaylee, Lindsey",Vert Bio
173,10/29/21,21302,29,October,2021,Autumn,9:37,AM,,,,,,,,,,,,,,,,9.5,39.8,,Nothing captured,"Chris, Lindsay",Vert Bio
174,10/30/21,21303,30,October,2021,Autumn,8:30,AM,Blarina,sp,Mammal,Insectivora,Shrew,2,2,,Open,,,49,18,2.49,,18.1,74.2,,"no wind, shrew was dead","Dan, Olivia Kramer, Cameryn Christopher",Vert Bio
175,11/1/21,21305,1,November,2021,Autumn,,,,,,,,,,,,Nothing in traps,,,,,,18.9,,,,"Morgan, Will, Laura, Anna Darke",Vert Bio
177,11/4/21,21308,4,November,2021,Autumn,11:30,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,42,,,Female,27.5,70,0.77,,,,,,,Vert Bio
178,11/4/21,21308,4,November,2021,Autumn,11:35,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,5,4,,,,Female,45,110,2,,,,,,,Vert Bio
179,11/4/21,21308,4,November,2021,Autumn,11:42,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,5,,,,,,,,,,,,,Vert Bio
176,11/4/21,21308,4,November,2021,Autumn,11:00,AM,,,,,,,,,,,,,,,,12.8,90,,,,Vert Bio
180,11/8/21,21312,8,November,2021,Autumn,9:43,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Forest,path to pond,,,,,,22.2,46.4,,not captured,"Morgan, Laura, Phelps",Vert Bio
185,11/8/21,21312,8,November,2021,Autumn,10:18,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,on tree at trailhead to hidden falls trail,,,,,Adult,,,,not captured,,Vert Bio
186,11/8/21,21312,8,November,2021,Autumn,10:21,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,"on tree at trailhead to hidden falls trail, slightly further down from first fence lizard",Female,31,,1.39,,,,,"tail broke, not measured",,Vert Bio
184,11/8/21,21312,8,November,2021,Autumn,10:15,AM,Cardinalis,cardinalis,Aves,,Bird,,,,Open,flying over open grass into trees on forest edge,,,,,,,,,,,Vert Bio
181,11/8/21,21312,8,November,2021,Autumn,10:09,AM,Blarina,sp,Mammal,Insectivora,Shrew,,,28,Open,,,,,,,,,,not captured,,Vert Bio
182,11/8/21,21312,8,November,2021,Autumn,10:10,AM,Blarina,sp,Mammal,Insectivora,Shrew,,,25,Open,,,,,,,,,,,,Vert Bio
183,11/8/21,21312,8,November,2021,Autumn,10:14,AM,Coluber,constrictor,Reptile,Squamate,Snake,,,,Open,path up from fence 1 headed to hidden falls trail head,,,,,,,,,whipped away quickly into the tall grass,,Vert Bio
188,11/11/21,21315,11,November,2021,Autumn,11:15,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,"on tree near road on other side of barbed wire fence, path leading to homestead from north lot",Male,60,112,5.14,,,,,,,Vert Bio
187,11/11/21,21315,11,November,2021,Autumn,11:07,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Forest,"on log near trees in center of north lot, basking",Female,37,67,1.27,,26.3,64.6,,,"Morgan, Phelps, Matt, Andrew",Vert Bio
189,11/11/21,21315,11,November,2021,Autumn,12:00,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,tree right at trailhead of hidden falls trail from open area,,,,,,,,,recap of dropped tail individual from Monday,,Vert Bio
190,11/11/21,21315,11,November,2021,Autumn,12:09,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Open,rock pile by bleachers,,,,,,,,,,,Vert Bio
191,11/15/21,21319,15,November,2021,Autumn,9:30,AM,,,,,,,,,,,,,,,,11.1,43,,"wind = 2 mph, none captured","Kerry, Mary, Laura, Phelps",Vert Bio
194,11/18/21,21322,18,November,2021,Autumn,11:45,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Forest,on pond way trail between hi-lo vista and pond,Male,40,80,1.9,,,,,,,Vert Bio
193,11/18/21,21322,18,November,2021,Autumn,11:20,AM,Peromyscus,sp,Mammal,Rodentia,Mouse,,,,,,,,,,,,,,,,Vert Bio
192,11/18/21,21322,18,November,2021,Autumn,11:00,AM,,,,,,,,,,,,,,,,26.1,85,,"wind = 1.1 mph, Kerry, Angela",,Vert Bio
264,1/24/2022,22024,24,January,2022,Winter,13:00,PM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,6,,41,Forest,,,30,20,0.5,,16.7,38,,,Ecology students,Ecology
266,1/25/2022,22025,25,January,2022,Winter,13:00,PM,,,Amphibian,Caudata,Salamander,6,1,,Forest,,,,,,,18.9,59,,,Ecology students,Ecology
267,1/25/2022,22025,25,January,2022,Winter,13:00,PM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,5,,,Stream,under log,,40,22,0.23,,24.4,66,,,Ecology students,Ecology
269,1/25/2022,22025,25,January,2022,Winter,13:00,PM,,,Amphibian,Caudata,Salamander,3,,1,Stream,,,,,,,18.9,59,,,Ecology students,Ecology
265,1/25/2022,22025,25,January,2022,Winter,13:00,PM,,,Reptile,Squamate,Lizard,3,1,,Stream,,,,,,,17.2,59,,,Ecology students,Ecology
270,1/25/2022,22025,25,January,2022,Winter,13:00,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,3,,19,Stream,,,,,,,17.2,59,,,Ecology students,Ecology
268,1/25/2022,22025,25,January,2022,Winter,13:00,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,,,,,,5.3,,17.2,59,,,Ecology students,Ecology
271,1/26/2022,22026,26,January,2022,Winter,13:00,PM,,,Amphibian,Caudata,Salamander,6,,41,Forest,,,,,,,17.2,39,,,Ecology students,Ecology
272,1/27/2022,22027,27,January,2022,Winter,13:00,PM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,6,,41,Forest,,,,,,,17.2,27,,,Ecology students,Ecology
273,1/28/2022,22028,28,January,2022,Winter,13:00,PM,,,Amphibian,Caudata,Salamander,6,,41,Forest,,,,,,,15.6,38,,,Ecology students,Ecology
274,2/14/2022,22045,14,February,2022,Winter,13:00,PM,,,Reptile,Squamate,Lizard,6,4,,Forest,,,,,,,18.9,28,,,Ecology students,Ecology
275,2/14/2022,22045,14,February,2022,Winter,13:00,PM,,,Reptile,Squamate,Lizard,1,,29,Open,Small lizard,,,,,,18.9,30,,,Ecology students,Ecology
276,2/14/2022,22045,14,February,2022,Winter,13:00,PM,Scincella,lateralis,Reptile,Squamate,Lizard,1,,28,Open,,,,,,,18.9,30,,,Ecology students,Ecology
277,2/14/2022,22045,14,February,2022,Winter,13:00,PM,Plestiodon,sp,Reptile,Squamate,Lizard,1,,27,Open,,,,,,,18.9,30,,,Ecology students,Ecology
278,2/14/2022,22045,14,February,2022,Winter,13:00,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,3,,19,Stream,,,,,,,15.0,34,,,Ecology students,Ecology
279,2/15/2022,22046,15,February,2022,Winter,13:00,PM,,,,,,,,,,No vertebrates recorded on this day,,,,,,,,,,Ecology students,Ecology
280,2/16/22,22047,16,February,2022,Winter,13:00,PM,Virginia,valeriae,Reptile,Squamate,Snake,2,4,,Open,,,,,1.4,,24.4,43,,,Ecology students,Ecology
294,2-16-2022,22047,16,February,2022,Winter,,,,,Reptile,Squamate,Snake,,,,,,,,,,,,,,,Ecology students,Ecology
281,2/16/22,22047,16,February,2022,Winter,16:00,PM,,,,,,,,,,"No vertebrates recorded on this day, this lab",,,,,,,,,,Ecology students,Ecology
293,2-17-2022,22048,17,February,2022,Winter,,,,,Reptile,Squamate,Lizard,6,4,,Forest,Dead lizard,,,,,,21.7,76,,,Ecology students,Ecology
282,2/17/2022,22048,17,February,2022,Winter,13:00,PM,Storeria,dekayi,Reptile,Squamate,Snake,2,,12,Open,,,,,,,22.8,73,,,Ecology students,Ecology
292,2-18-2022,22049,18,February,2022,Winter,,,Coluber,constrictor,Reptile,Squamate,Snake,4,,6,Forest,,,,,,,12.8,86,,,Ecology students,Ecology
283,2-18-22,22049,18,February,2022,Winter,13:00,PM,Blarina,sp,Mammal,Insectivora,Shrew,1,1,,Open,,,,,,,12.8,64,,,Ecology students,Ecology
284,2/21/2022,22052,21,February,2022,Winter,13:00,PM,Diadophis,punctatus,Reptile,Squamate,Snake,1,,25,Open,,,13,,,,12.8,99.9,,,Ecology students,Ecology
291,2-22-2022,22053,22,February,2022,Winter,,,,,Reptile,Squamate,Snake,2,,48,Open,,,,,,,23.3,78,2,,Ecology students,Ecology
285,2/22/22,22053,22,February,2022,Winter,13:00,PM,,,,,,,,,,No vertebrates recorded on this day,,,,,,,,,,Ecology students,Ecology
286,2/23/22,22054,23,February,2022,Winter,13:00,PM,Virginia,valeriae,Reptile,Squamate,Snake,2,,12,Open,,,,,,,24.4,44,,,Ecology students,Ecology
290,2-23-2022,22054,23,February,2022,Winter,,,,,Reptile,Squamate,Lizard,1,,27,Open,Black lizard,,,,,,28,77,,,Ecology students,Ecology
287,2/23/2022,22054,23,February,2022,Winter,16:00,PM,,,,,,,,,,"No vertebrates recorded on this day, this lab",,,,,,,,,,Ecology students,Ecology
288,2/24/2022,22055,24,February,2022,Winter,13:00,PM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,5,1,,Stream,,,,,,,26.1,58.8,,,Ecology students,Ecology
289,2/25/2022,22056,25,February,2022,Winter,13:00,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,6,2,,Forest,,,6,5.5,1.9,,15.0,96,,,Ecology students,Ecology
197,03/02/22,22061,2,March,2022,Spring,1535,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,6,1,,,,Male,38,75,1.53,,,,,,,Herpetology
198,03/02/22,22061,2,March,2022,Spring,1550,PM,Virginia,valeriae,Reptile,Squamate,Snake,,,12,,,,120,20,1.19,,,,,,,Herpetology
199,03/02/22,22061,2,March,2022,Spring,1614,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,7,2,,,,Male,34,80,2.24,,,,,"Tail broke when captured, tail length = 36+44",,Herpetology
195,03/03/22,22062,3,March,2022,Spring,1510,PM,Nerodia,sp,Reptile,Squamate,Snake,,,,Stream,near fence 8 on boardwalk,,,,,,26.3,25,,not captured,,Herpetology
196,03/03/22,22062,3,March,2022,Spring,,,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Stream,near fence 8 on boardwalk,,,,,,,,,not captured,,Herpetology
200,03/13/22,22072,13,March,2022,Spring,1300,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,,,,,,,,,,,"see field notes, bad handwriting",,Herpetology
201,03/14/22,22073,14,March,2022,Spring,,,,,,,,,,,,,,,,,,18.2,38.3,,,"Morgan, August",Herpetology
203,03/16/22,22075,16,March,2022,Spring,1536,PM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,5,,,Edge,woods/edge,,29,30,0.88,,18.2,74.8,,,,Herpetology
205,03/16/22,22075,16,March,2022,Spring,1604,PM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,45,Forest,,,35,32,1.16,,18.2,74.8,,,,Herpetology
206,03/16/22,22075,16,March,2022,Spring,1608,PM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,18,Forest,,,40,60,1.78,,18.2,74.8,,Tail length = 26+44,,Herpetology
204,03/16/22,22075,16,March,2022,Spring,1536,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,,Male,66,86,14.48,,18.2,74.8,,,,Herpetology
207,03/16/22,22075,16,March,2022,Spring,1630,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,31,Open,,Female,38,50,1.08,,18.2,74.8,,,,Herpetology
208,03/16/22,22075,16,March,2022,Spring,1639,PM,Virginia,valeriae,Reptile,Squamate,Snake,,,12,Open,,,120,19,1.52,,18.2,74.8,,,,Herpetology
202,03/16/22,22075,16,March,2022,Spring,1500,PM,,,,,,,,,,,,,,,,,,,,"Barrett, Carter, Dalton, Luke, Allison, Natalie, Matt",Herpetology
210,03/28/22,22087,28,March,2022,Spring,915,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,5,,,,,,29,30,0.88,,21.7,36,,,,Herpetology
211,03/28/22,22087,28,March,2022,Spring,915,AM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,43,,,,38,,1.41,,21.7,36,,,,Herpetology
212,03/28/22,22087,28,March,2022,Spring,915,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,,,,,,,,21.7,36,,,,Herpetology
209,03/28/22,22087,28,March,2022,Spring,900,AM,,,,,,,,,,,,,,,,21.7,36,,windspeed 2mph,"Jillian, Kerry",Herpetology
217,03/29/22,22088,29,March,2022,Spring,1200,PM,Anaxyrus,americanus,Amphibian,Anura,Toad,,,,Edge,hillside by pond,Male,,,,,21,56,,,,Herpetology
218,03/29/22,22088,29,March,2022,Spring,1200,PM,Anaxyrus,americanus,Amphibian,Anura,Toad,,,,Edge,hillside by pond,,,,,Juvenile,21,56,,,,Herpetology
214,03/29/22,22088,29,March,2022,Spring,1200,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Fire pit,,,,,Juvenile,21,56,,,,Herpetology
215,03/29/22,22088,29,March,2022,Spring,1200,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,hillside by pond,,,,,Juvenile,21,56,,,,Herpetology
216,03/29/22,22088,29,March,2022,Spring,1200,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,hillside by pond,Male,,,,,21,56,,,,Herpetology
224,03/29/22,22088,29,March,2022,Spring,1200,PM,Diadophis,punctatus,Reptile,Squamate,Snake,,,,Edge,hillside by pond,,,,,,21,56,,,,Herpetology
223,03/29/22,22088,29,March,2022,Spring,1200,PM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,5,,,,,,29,30,0.88,,21,56,,,,Herpetology
219,03/29/22,22088,29,March,2022,Spring,1200,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,48,,,,,,,,21,56,,,,Herpetology
220,03/29/22,22088,29,March,2022,Spring,1200,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,27,,,,,,,,21,56,,,,Herpetology
221,03/29/22,22088,29,March,2022,Spring,1200,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,31,,,,,,,,21,56,,,,Herpetology
222,03/29/22,22088,29,March,2022,Spring,1200,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,16,,,,,,,Juvenile,21,56,,,,Herpetology
213,03/29/22,22088,29,March,2022,Spring,1200,PM,,,,,,,,,,,,,,,,21,56,,,"Devin, Barret, Laura, Parker, Greer",Herpetology
228,03/30/22,22089,30,March,2022,Spring,1500,PM,Lithobates,sphenocephalus,Amphibian,Anura,Frog,,,,Edge,near pond,,50,,10.25,,27.8,35,,,,Herpetology
233,03/30/22,22089,30,March,2022,Spring,1500,PM,Anaxyrus,fowleri,Amphibian,Anura,Toad,,,,Edge,Under rock by pond,,46,,8.42,,27.8,35,,,,Herpetology
225,03/30/22,22089,30,March,2022,Spring,1500,PM,Diadophis,punctatus,Reptile,Squamate,Snake,,,,Edge,Under Rock by butterfly garden,,194,48,5.35,,27.8,35,,,"Allison, Luke, Dalton, Alexis, Hannah Eubanks, Carter, Peyton, Matth",Herpetology
226,03/30/22,22089,30,March,2022,Spring,1500,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,On fence post by butterfly garden,Male,54,100,5.8,,27.8,35,,,,Herpetology
232,03/30/22,22089,30,March,2022,Spring,1500,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Under rock by pond,,60,95,3.8,,27.8,35,,,,Herpetology
234,03/30/22,22089,30,March,2022,Spring,1500,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Edge,Under rock by pond,,32,54,0.33,,27.8,35,,,,Herpetology
235,03/30/22,22089,30,March,2022,Spring,1500,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Under rock by pond,,40,32,1.67,,27.8,35,,,,Herpetology
236,03/30/22,22089,30,March,2022,Spring,1500,PM,Diadophis,punctatus,Reptile,Squamate,Snake,,,,Edge,Under rock by pond,,137,24,1.62,,27.8,35,,,,Herpetology
237,03/30/22,22089,30,March,2022,Spring,1500,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Under rock by pond,Male,69,10,12.06,,27.8,35,,,,Herpetology
231,03/30/22,22089,30,March,2022,Spring,1500,PM,Lampropeltis,getula,Reptile,Squamate,Snake,,,12,Open,Open field,,335,50,14.71,,27.8,35,,,,Herpetology
229,03/30/22,22089,30,March,2022,Spring,1500,PM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,,Stream,under log near stream,,45,65,3.21,,27.8,35,,,,Herpetology
227,03/30/22,22089,30,March,2022,Spring,1500,PM,Plestiodon,fasciatus,Reptile,Squamate,Lizard,,,,Stream,near creek,Female,,,,,27.8,35,,,,Herpetology
230,03/30/22,22089,30,March,2022,Spring,1500,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,,on tree,Male,52,95,4.88,,27.8,35,,,,Herpetology
242,04/12/22,22102,12,April,2022,Spring,1230,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,1,,Forest,,Male,52,72,5.55,,19.4,58.6,,,"Morgan, Terra",Herpetology
243,04/12/22,22102,12,April,2022,Spring,1244,PM,Lampropeltis,getula,Reptile,Squamate,Snake,,,47,Open,,,,,,,19.4,58.6,,,,Herpetology
244,04/13/22,22103,13,April,2022,Spring,1549,PM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,32,Open,,,,,,,19.4,58.6,,,"Morgan, Matt, Terra, Hannah, Kendall",Herpetology
245,04/13/22,22103,13,April,2022,Spring,,,Coluber,constrictor,Reptile,Squamate,Snake,,,39,,,,499,106,50,,19.4,58.6,,,,Herpetology
246,04/13/22,22103,13,April,2022,Spring,,,Scincella,lateralis,Reptile,Squamate,Lizard,,,27,,,,,,,,19.4,58.6,,,,Herpetology
252,04/26/22,22116,26,April,2022,Spring,1304,PM,Storeria,occipitomaculata,Reptile,Squamate,Snake,7,4,,Forest,,,140,40,1.91,,19.4,58.6,,,,Herpetology
249,04/26/22,22116,26,April,2022,Spring,1222,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Open,,,45,35,1.31,,19.4,58.6,,12 mm tail regen,,Herpetology
250,04/26/22,22116,26,April,2022,Spring,1234,PM,Virginia,valeriae,Reptile,Squamate,Snake,,,31,Open,,,177,30,4.41,,19.4,58.6,,,,Herpetology
251,04/26/22,22116,26,April,2022,Spring,1242,PM,,,,,,1,4,,Open,,,72,100,10.96,,19.4,58.6,,,,Herpetology
260,04/27/22,22117,27,April,2022,Spring,1631,PM,Anaxyrus,sp,Amphibian,Anura,Toad,,,,Edge,"Pond Adjacent, disturbed",,40,,7.03,,19.4,58.6,,,,Herpetology
253,04/27/22,22117,27,April,2022,Spring,1532,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,On tree,,,,,,19.4,58.6,,,"Noah, Allison, Peyton, Hannah, Hannah Eubanks, Lyndsay, Matt, Kendall",Herpetology
259,04/27/22,22117,27,April,2022,Spring,1631,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,"Pond Adjacent, disturbed",Female,54,74,5.15,,19.4,58.6,,,,Herpetology
257,04/27/22,22117,27,April,2022,Spring,1554,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,,Female,64,85,17.39,,19.4,58.6,,,,Herpetology
261,04/27/22,22117,27,April,2022,Spring,1630,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Forest,,,,,,,19.4,58.6,,,,Herpetology
262,04/27/22,22117,27,April,2022,Spring,1638,PM,Plestiodon,laticeps,Reptile,Squamate,Lizard,,,,Forest,,,,,28.5,,19.4,58.6,,,,Herpetology
263,04/27/22,22117,27,April,2022,Spring,1646,PM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Forest,On Trail,Female,31,33,0.64,,19.4,58.6,,,,Herpetology
256,04/27/22,22117,27,April,2022,Spring,1545,PM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,,Stream,Stream adjacent,Female,75,128,5.72,,19.4,58.6,,,,Herpetology
258,04/27/22,22117,27,April,2022,Spring,1602,PM,Eurycea,cirrigera,Amphibian,Caudata,Salamander,,,43,Stream,Stream adjacent,,41,32,1.68,,19.4,58.6,,,,Herpetology
254,04/27/22,22117,27,April,2022,Spring,1540,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Stream,Stream adjacent,,38,67,0.91,Juvenile,19.4,58.6,,,,Herpetology
255,04/27/22,22117,27,April,2022,Spring,1540,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Stream,Stream adjacent,Female,52,100,4.32,,19.4,58.6,,,,Herpetology
299,5/23/2022,22143,23,May,2022,Spring,9:00,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,6,4,,Forest,,,,,,,22.8,91,,"Only traps 2, 4, 5, 6, 4, 9 were checked",Ecology students,Ecology
296,5/23/2022,22143,23,May,2022,Spring,9:00,AM,Gastrophryne,carolinensis,Amphibian,Anura,Frog,9,3,,Open,,,,,,,27.2,86,,,Ecology students,Ecology
